Date,WIP,,Date,,,,date,all_wpd,,Date,,,Date,WIP,MOVE,,Date,WIP,MOVE
2021/12/18,25,,2021/11/21,,,,2022/5/9,5336,,2021/11/21,,,2021/12/13,22056,0,,2021/12/13,22056,4850
2021/12/18,0,,2021/11/22,,,,2022/5/9,5471,,2021/11/22,,,2021/12/14,14648,16404,,2021/12/14,14648,16404
2021/12/18,0,,2021/11/23,,,,2022/5/9,5344,,2021/11/23,,,2021/12/15,10181,0,,2021/12/15,10181,16404
2022/7/3,46,,2021/11/24,,,,2022/7/25,5350,,2021/11/24,,,2021/12/16,9382,5064,,2021/12/16,9382,5064
2022/7/3,25,,2021/11/25,,,,2022/4/22,5421,,2021/11/25,,,2021/12/17,25893,9779,,2021/12/17,25893,9779
2022/7/3,0,,2021/11/26,,,,2022/4/22,5803,,2021/11/26,,,2021/12/18,12421,15204,,2021/12/18,12421,15204
2022/7/3,0,,2021/11/27,,,,2022/6/29,5347,,2021/11/27,,,2021/12/19,10537,10939,,2021/12/19,10537,10939
2022/7/3,200,,2021/11/28,,,,2022/6/29,4912,,2021/11/28,,,2021/12/20,6237,0,,2021/12/20,6237,10939
2022/7/3,1224,,2021/11/29,,,,2022/6/29,5666,,2021/11/29,,,2021/12/21,7717,14139,,2021/12/21,7717,14139
2022/7/3,925,,2021/11/30,,,,2022/6/15,5284,,2021/11/30,,,2021/12/22,19870,8597,,2021/12/22,19870,8597
2022/7/3,100,,2021/12/1,,,,2022/6/15,4916,,2021/12/1,,,2021/12/23,18809,0,,2021/12/23,18809,8597
2021/9/15,50,,2021/12/2,,,,2022/6/15,5596,,2021/12/2,,,2021/12/24,14052,10824,,2021/12/24,14052,10824
2021/9/15,250,,2021/12/3,,,,2022/6/15,4216,,2021/12/3,,,2021/12/25,9578,9280,,2021/12/25,9578,9280
2021/9/15,100,,2021/12/4,,,,2022/6/15,5842,,2021/12/4,,,2021/12/26,25752,10673,,2021/12/26,25752,10673
2021/9/15,887,,2021/12/5,,,,2021/8/26,0,,2021/12/5,,,2021/12/27,20875,0,,2021/12/27,20875,10673
2021/9/15,1076,,2021/12/6,,,,2021/8/28,5075,,2021/12/6,,,2021/12/28,4307,4,,2021/12/28,4307,10673
2021/9/15,2203,,2021/12/7,,,,2021/8/28,4781,,2021/12/7,,,2021/12/29,6893,19030,,2021/12/29,6893,19030
2021/9/15,0,,2021/12/8,,,,2021/8/28,0,,2021/12/8,,,2021/12/30,24342,0,,2021/12/30,24342,19030
2022/6/26,411,,2021/12/9,,,,2021/8/28,0,,2021/12/9,,,2021/12/31,8705,11608,,2021/12/31,8705,11608
2022/6/26,4,,2021/12/10,,,,2022/2/15,5535,,2021/12/10,,,2022/1/1,15431,0,,2022/1/1,15431,11608
2022/6/26,75,,2021/12/11,,,,2022/1/22,5705,,2021/12/11,,,2022/1/2,17841,22439,,2022/1/2,17841,22439
2022/6/26,264,,2021/12/12,,,,2021/11/16,5509,,2021/12/12,,,2022/1/3,16990,10809,,2022/1/3,16990,10809
2022/6/26,0,,2021/12/13,,,,2021/11/16,4371,,2021/12/13,,,2022/1/4,10556,0,,2022/1/4,10556,10809
2022/6/26,282,,2021/12/14,,,,2021/11/16,4203,,2021/12/14,,,2022/1/5,19173,0,,2022/1/5,19173,10809
2022/8/14,325,,2021/12/15,,,,2021/11/16,5714,,2021/12/15,,,2022/1/6,7952,3484,,2022/1/6,7952,3484
2022/8/14,759,,2021/12/16,,,,2021/11/16,5619,,2021/12/16,,,2022/1/7,17256,5033,,2022/1/7,17256,5033
2022/8/14,0,,2021/12/17,,,,2022/4/24,5800,,2021/12/17,,,2022/1/8,19220,0,,2022/1/8,19220,5033
2022/8/14,5527,,2021/12/18,,,,2022/4/24,4155,,2021/12/18,,,2022/1/9,17916,0,,2022/1/9,17916,5033
2022/8/14,25,,2021/12/19,,,,2021/8/27,5482,,2021/12/19,,,2022/1/10,23003,2065,,2022/1/10,23003,2065
2022/8/14,0,,2021/12/20,,,,2021/8/27,5455,,2021/12/20,,,2022/1/11,6289,0,,2022/1/11,6289,2065
2022/8/14,441,,2021/12/21,,,,2022/6/24,4697,,2021/12/21,,,2022/1/12,12932,0,,2022/1/12,12932,2065
2022/8/14,25,,2021/12/22,,,,2022/6/24,5013,,2021/12/22,,,2022/1/13,4359,15235,,2022/1/13,4359,15235
2021/9/18,0,,2021/12/23,,,,2022/6/24,5694,,2021/12/23,,,2022/1/14,18103,5111,,2022/1/14,18103,5111
2021/9/18,150,,2021/12/24,,,,2021/10/18,5376,,2021/12/24,,,2022/1/15,14425,0,,2022/1/15,14425,5111
2021/9/18,250,,2021/12/25,,,,2021/10/18,6120,,2021/12/25,,,2022/1/16,26044,0,,2022/1/16,26044,5111
2021/9/18,21,,2021/12/26,,,,2022/3/19,4399,,2021/12/26,,,2022/1/17,0,0,,2022/1/17,26044,5111
2021/9/18,164,,2021/12/27,,,,2021/9/2,0,,2021/12/27,,,2022/1/18,20597,13645,,2022/1/18,20597,13645
2021/9/18,1048,,2021/12/28,,,,2021/9/2,5402,,2021/12/28,,,2022/1/19,20451,15231,,2022/1/19,20451,15231
2021/9/18,760,,2021/12/29,,,,2021/9/2,5432,,2021/12/29,,,2022/1/20,15592,5721,,2022/1/20,15592,5721
2021/9/18,44,,2021/12/30,,,,2021/11/3,5153,,2021/12/30,,,2022/1/21,0,19683,,2022/1/21,15592,19683
2021/12/18,0,,2021/12/31,,,,2022/4/6,5409,,2021/12/31,,,2022/1/22,10641,5705,,2022/1/22,10641,5705
2021/12/18,0,,2022/1/1,,,,2022/4/6,5297,,2022/1/1,,,2022/1/23,0,0,,2022/1/23,10641,5705
2021/12/18,0,,2022/1/2,,,,2022/2/12,5937,,2022/1/2,,,2022/1/24,8745,14746,,2022/1/24,8745,14746
2022/1/15,24,,2022/1/3,,,,2022/2/12,5038,,2022/1/3,,,2022/1/25,4623,0,,2022/1/25,4623,14746
2021/9/15,0,,2022/1/4,,,,2021/8/30,5423,,2022/1/4,,,2022/1/26,26034,14950,,2022/1/26,26034,14950
2021/9/15,363,,2022/1/5,,,,2021/8/30,4654,,2022/1/5,,,2022/1/27,16004,21861,,2022/1/27,16004,21861
2021/9/15,171,,2022/1/6,,,,2021/8/31,4123,,2022/1/6,,,2022/1/28,20884,0,,2022/1/28,20884,21861
2021/9/15,321,,2022/1/7,,,,2021/8/31,0,,2022/1/7,,,2022/1/29,12579,4427,,2022/1/29,12579,4427
2022/6/26,243,,2022/1/8,,,,2021/12/16,0,,2022/1/8,,,2022/1/30,7771,21059,,2022/1/30,7771,21059
2022/6/26,21,,2022/1/9,,,,2021/12/16,5064,,2022/1/9,,,2022/1/31,19624,9291,,2022/1/31,19624,9291
2022/6/26,25,,2022/1/10,,,,2022/2/3,5427,,2022/1/10,,,2022/2/1,4712,5088,,2022/2/1,4712,5088
2022/6/26,50,,2022/1/11,,,,2022/2/3,5188,,2022/1/11,,,2022/2/2,9705,15406,,2022/2/2,9705,15406
2022/6/26,218,,2022/1/12,,,,2022/2/3,5210,,2022/1/12,,,2022/2/3,7352,21644,,2022/2/3,7352,21644
2022/6/26,97,,2022/1/13,,,,2022/2/3,5819,,2022/1/13,,,2022/2/4,15897,0,,2022/2/4,15897,21644
2022/6/26,0,,2022/1/14,,,,2022/6/13,5398,,2022/1/14,,,2022/2/5,18396,0,,2022/2/5,18396,21644
2022/6/26,46,,2022/1/15,,,,2022/6/13,5197,,2022/1/15,,,2022/2/6,4183,5301,,2022/2/6,4183,5301
2022/6/26,0,,2022/1/16,,,,2022/6/13,4677,,2022/1/16,,,2022/2/7,7291,5397,,2022/2/7,7291,5397
2022/8/14,439,,2022/1/17,,,,2022/6/13,5614,,2022/1/17,,,2022/2/8,1485,12565,,2022/2/8,1485,12565
2022/8/14,742,,2022/1/18,,,,2022/6/13,4992,,2022/1/18,,,2022/2/9,2743,7629,,2022/2/9,2743,7629
2022/8/14,0,,2022/1/19,,,,2022/5/21,4801,,2022/1/19,,,2022/2/10,10611,11145,,2022/2/10,10611,11145
