Date,WorkstationGroupName,ProdWIP,OMTWIP,,,date,ws_group,all_wpd
2022-06-26,16-PH_193NM_NXT2000,50,0,,,2022-03-30,16-PH_193NM_NXT1980,5746
2022-06-26,16-PH_193NM_NXT2000,550,0,,,2022-03-30,16-PH_193NM_NXT1980,5993
2022-06-26,16-PH_193NM_XT,0,869,,,2022-03-30,16-PH_193NM_NXT1980,5827
2022-06-26,16-PH_193NM_NXT1980,0,0,,,2022-03-30,16-PH_193NM_NXT1980,5073
2022-06-26,16-PH_193NM_NXT1980,792,0,,,2022-03-30,16-PH_193NM_NXT2000,5578
2022-06-26,16-PH_193NM_NXT1980,25,0,,,2022-03-30,16-PH_193NM_NXT2000,5788
2022-06-26,16-PH_193NM_NXT2000,219,0,,,2022-03-30,16-PH_193NM_NXT2000,5431
2022-08-14,16-PH_193NM_NXT1980,119,0,,,2022-03-30,16-PH_193NM_NXT2000,4876
2022-08-14,16-PH_193NM_NXT1980,75,0,,,2022-03-30,16-PH_193NM_NXT2000,5077
2022-08-14,16-PH_193NM_NXT1980,100,0,,,2022-03-30,16-PH_193NM_NXT2000,4719
2022-08-14,16-PH_193NM_NXT2000,323,0,,,2022-03-30,16-PH_193NM_XT,2878
2022-08-14,16-PH_193NM_NXT1980,25,0,,,2022-03-30,16-PH_193NM_XT,3195
2022-08-14,16-PH_193NM_NXT1980,470,0,,,2022-03-30,16-PH_193NM_XT,3089
2022-08-14,16-PH_193NM_NXT1980,200,0,,,2022-03-30,16-PH_193NM_XT,2831
2022-08-14,16-PH_193NM_NXT2000,100,0,,,2022-03-30,16-PH_193NM_XT,2780
2022-08-14,16-PH_193NM_XT,44,0,,,2022-03-30,16-PH_193NM_XT,3531
2022-08-14,16-PH_193NM_NXT1980,209,70,,,2022-03-30,16-PH_193NM_XT,2969
2022-08-14,16-PH_193NM_NXT1980,150,0,,,2022-03-30,16-PH_193NM_XT,2049
2021-09-18,16-PH_193NM_NXT1980,752,0,,,2022-03-30,16-PH_193NM_XT,0
2021-09-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT1980,0
2021-09-18,16-PH_193NM_XT,0,0,,,2022-04-01,16-PH_193NM_NXT1980,5095
2021-09-18,16-PH_193NM_NXT2000,0,0,,,2022-04-01,16-PH_193NM_NXT1980,4581
2021-09-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT1980,5190
2021-09-18,16-PH_193NM_NXT1980,0,0,,,2022-04-01,16-PH_193NM_NXT1980,4770
