Date,WIP,,,WIP,,date,all_wpd,,,MOVE,,DATE,WIP,MOVE
2022/8/14,172,,2021/11/28,8312,,2022/5/27,2640,,2021/11/27,18812,,2021/11/27,2967,18812
2021/9/18,50,,2021/11/29,9523,,2022/5/27,2760,,2021/11/28,9381,,2021/11/28,8312,9381
2022/1/15,99,,2021/11/30,819,,2022/5/27,3184,,2021/11/29,15376,,2021/11/29,9523,15376
2022/1/15,699,,2021/12/1,7353,,2022/5/27,1619,,2021/11/30,16214,,2021/11/30,819,16214
2022/1/15,731,,2021/12/2,1470,,2021/11/24,3073,,2021/12/1,10035,,2021/12/1,7353,10035
2022/1/15,765,,2021/12/3,13921,,2021/11/24,2985,,2021/12/2,12977,,2021/12/2,1470,12977
2021/9/15,0,,2021/12/4,3525,,2021/11/24,2941,,2021/12/3,8247,,2021/12/3,13921,8247
2021/9/15,0,,2021/12/5,0,,2021/11/24,2984,,2021/12/4,6820,,2021/12/4,3525,6820
2021/9/13,150,,2021/12/6,7394,,2022/5/12,3122,,2021/12/5,1465,,2021/12/5,0,1465
2021/9/13,371,,2021/12/7,8003,,2022/5/12,2835,,2021/12/6,15228,,2021/12/6,7394,15228
2021/9/13,0,,2021/12/8,12962,,2022/5/12,66,,2021/12/7,15186,,2021/12/7,8003,15186
2021/9/13,0,,2021/12/9,3978,,2022/5/12,3988,,2021/12/8,6266,,2021/12/8,12962,6266
2021/9/13,483,,2021/12/10,3077,,2022/5/12,1216,,2021/12/9,10257,,2021/12/9,3978,10257
2022/8/14,50,,2021/12/11,5077,,2022/6/18,2893,,2021/12/10,9677,,2021/12/10,3077,9677
2022/8/14,0,,2021/12/12,0,,2022/6/18,2558,,2021/12/11,7878,,2021/12/11,5077,7878
2022/8/14,125,,2021/12/13,4907,,2022/6/18,3312,,2021/12/12,10017,,2021/12/12,0,10017
2022/8/14,100,,2021/12/14,2126,,2022/6/18,2206,,2021/12/13,11938,,2021/12/13,4907,11938
2022/1/2,261,,2021/12/15,5233,,2021/9/3,3144,,2021/12/14,4144,,2021/12/14,2126,4144
2021/9/18,25,,2021/12/16,1609,,2022/3/6,2708,,2021/12/15,13229,,2021/12/15,5233,13229
2021/9/18,0,,2021/12/17,7167,,2022/3/6,3014,,2021/12/16,9696,,2021/12/16,1609,9696
2021/9/18,0,,2021/12/18,8301,,2022/3/6,2664,,2021/12/17,9386,,2021/12/17,7167,9386
2021/9/18,175,,2021/12/19,7160,,2022/3/6,3000,,2021/12/18,3160,,2021/12/18,8301,3160
2022/1/15,169,,2021/12/20,4752,,2022/3/6,3079,,2021/12/19,9599,,2021/12/19,7160,9599
2022/1/15,0,,2021/12/21,3435,,2022/3/6,10,,2021/12/20,5890,,2021/12/20,4752,5890
2021/11/16,250,,2021/12/22,4961,,2021/9/8,2963,,2021/12/21,10866,,2021/12/21,3435,10866
2022/2/25,175,,2021/12/23,8630,,2022/7/21,2486,,2021/12/22,5693,,2021/12/22,4961,5693
2021/9/13,163,,2021/12/24,3816,,2022/7/21,2933,,2021/12/23,10412,,2021/12/23,8630,10412
2021/9/13,242,,2021/12/25,5132,,2022/7/21,2502,,2021/12/24,12678,,2021/12/24,3816,12678
2021/9/13,0,,2021/12/26,9431,,2022/7/21,2830,,2021/12/25,6449,,2021/12/25,5132,6449
2021/9/13,0,,2021/12/27,7022,,2022/7/21,2946,,2021/12/26,3060,,2021/12/26,9431,3060
2022/1/2,253,,2021/12/28,835,,2022/7/21,4192,,2021/12/27,17054,,2021/12/27,7022,17054
2022/1/2,0,,2021/12/29,5014,,2022/7/21,3189,,2021/12/28,13165,,2021/12/28,835,13165
2022/1/2,199,,2021/12/30,10396,,2021/11/25,3210,,2021/12/29,5911,,2021/12/29,5014,5911
2022/1/2,0,,2021/12/31,1914,,2021/11/25,2905,,2021/12/30,11778,,2021/12/30,10396,11778
2022/1/2,791,,2022/1/1,5364,,2021/11/25,2852,,2021/12/31,10280,,2021/12/31,1914,10280
2022/1/2,478,,2022/1/2,7136,,2022/8/12,2790,,2022/1/1,9355,,2022/1/1,5364,9355
2022/1/2,255,,2022/1/3,7478,,2022/8/12,2936,,2022/1/2,9212,,2022/1/2,7136,9212
2022/1/2,47,,2022/1/4,2221,,2022/8/12,2358,,2022/1/3,9393,,2022/1/3,7478,9393
2022/1/26,196,,2022/1/5,8502,,2022/8/12,3769,,2022/1/4,15446,,2022/1/4,2221,15446
2022/1/26,161,,2022/1/6,7044,,2022/8/12,2937,,2022/1/5,11987,,2022/1/5,8502,11987
2022/1/26,324,,2022/1/7,5150,,2021/11/7,4404,,2022/1/6,5769,,2022/1/6,7044,5769
2021/11/16,376,,2022/1/8,11636,,2021/11/7,3099,,2022/1/7,8326,,2022/1/7,5150,8326
2021/11/16,279,,2022/1/9,7494,,2021/9/16,2909,,2022/1/8,13102,,2022/1/8,11636,13102
2021/11/16,0,,2022/1/10,7768,,2021/9/16,2979,,2022/1/9,9292,,2022/1/9,7494,9292
2022/2/25,0,,2022/1/11,2880,,2021/9/16,3044,,2022/1/10,14838,,2022/1/10,7768,14838
2022/2/25,0,,2022/1/12,4556,,2021/9/16,4129,,2022/1/11,9353,,2022/1/11,2880,9353
2022/2/25,570,,2022/1/13,2215,,2021/9/16,3008,,2022/1/12,8570,,2022/1/12,4556,8570
2022/2/25,175,,2022/1/14,2556,,2022/6/2,654,,2022/1/13,10195,,2022/1/13,2215,10195
2022/2/25,177,,2022/1/15,5221,,2022/6/2,2959,,2022/1/14,13108,,2022/1/14,2556,13108
2022/2/25,1049,,2022/1/16,9356,,2022/6/2,2485,,2022/1/15,8681,,2022/1/15,5221,8681
2022/2/25,345,,2022/1/17,0,,2021/11/17,1788,,2022/1/16,0,,2022/1/16,9356,0
2022/2/25,345,,2022/1/18,9289,,2022/8/6,3115,,2022/1/17,7167,,2022/1/17,0,7167
2021/9/13,0,,2022/1/19,5822,,2022/8/6,2670,,2022/1/18,10683,,2022/1/18,9289,10683
2021/9/13,0,,2022/1/20,6775,,2022/8/6,2857,,2022/1/19,8511,,2022/1/19,5822,8511
2022/1/2,75,,2022/1/21,0,,2021/8/23,1702,,2022/1/20,11859,,2022/1/20,6775,11859
2022/1/2,0,,2022/1/22,4235,,2021/8/23,2390,,2022/1/21,6764,,2022/1/21,0,6764
2022/1/2,516,,2022/1/23,0,,2021/8/23,1949,,2022/1/22,8836,,2022/1/22,4235,8836
2022/1/2,0,,2022/1/24,2745,,2021/9/22,2885,,2022/1/23,0,,2022/1/23,0,0
2022/1/2,0,,2022/1/25,5554,,2021/9/22,0,,2022/1/24,4293,,2022/1/24,2745,4293
2022/1/26,125,,2022/1/26,8069,,2021/9/22,1557,,2022/1/25,11998,,2022/1/25,5554,11998
2022/1/26,124,,2022/1/27,4262,,2021/11/29,3210,,2022/1/26,9411,,2022/1/26,8069,9411
2022/1/26,487,,2022/1/28,6061,,2021/11/29,3010,,2022/1/27,7211,,2022/1/27,4262,7211
2022/1/26,759,,2022/1/29,11417,,2021/11/29,3145,,2022/1/28,8781,,2022/1/28,6061,8781
2022/1/26,21,,2022/1/30,1797,,2021/11/29,2919,,2022/1/29,2915,,2022/1/29,11417,2915
2022/1/26,0,,2022/1/31,7307,,2021/11/29,3092,,2022/1/30,9346,,2022/1/30,1797,9346
2021/11/16,3296,,2022/2/1,3963,,2022/8/3,1598,,2022/1/31,10601,,2022/1/31,7307,10601
2022/5/23,0,,2022/2/2,5033,,2022/8/3,3226,,2022/2/1,11674,,2022/2/1,3963,11674
2022/5/23,0,,2022/2/3,3398,,2022/8/3,2697,,2022/2/2,14801,,2022/2/2,5033,14801
2022/5/23,0,,2022/2/4,4760,,2022/8/3,3595,,2022/2/3,18010,,2022/2/3,3398,18010
2022/2/25,575,,2022/2/5,9258,,2022/8/3,2076,,2022/2/4,12148,,2022/2/4,4760,12148
2021/9/30,242,,2022/2/6,1795,,2022/8/3,1229,,2022/2/5,8603,,2022/2/5,9258,8603
2021/9/30,181,,2022/2/7,8644,,2021/12/17,2966,,2022/2/6,5529,,2022/2/6,1795,5529
2021/9/30,100,,2022/2/8,3767,,2021/12/17,2620,,2022/2/7,9647,,2022/2/7,8644,9647
2021/9/30,0,,2022/2/9,5103,,2021/12/17,3800,,2022/2/8,9119,,2022/2/8,3767,9119
2021/9/13,0,,2022/2/10,8833,,2022/2/21,3108,,2022/2/9,7410,,2022/2/9,5103,7410
2021/9/13,221,,2022/2/11,0,,2022/2/21,3120,,2022/2/10,6275,,2022/2/10,8833,6275
2021/9/13,125,,2022/2/12,9160,,2022/2/21,3151,,2022/2/11,10163,,2022/2/11,0,10163
2021/9/13,25,,2022/2/13,0,,2021/9/15,3185,,2022/2/12,3140,,2022/2/12,9160,3140
2021/9/13,148,,2022/2/14,16713,,2021/9/15,2719,,2022/2/13,12851,,2022/2/13,0,12851
2022/1/7,1290,,2022/2/15,592,,2021/9/15,3367,,2022/2/14,4400,,2022/2/14,16713,4400
2022/1/7,0,,2022/2/16,7441,,2021/9/15,2511,,2022/2/15,16497,,2022/2/15,592,16497
2022/1/26,0,,2022/2/17,11909,,2022/4/30,3158,,2022/2/16,20790,,2022/2/16,7441,20790
2022/1/26,125,,2022/2/18,14466,,2022/4/30,2704,,2022/2/17,16524,,2022/2/17,11909,16524
2022/1/26,100,,2022/2/19,11362,,2022/4/30,3386,,2022/2/18,12017,,2022/2/18,14466,12017
2022/1/26,400,,2022/2/20,4902,,2022/4/30,3440,,2022/2/19,2763,,2022/2/19,11362,2763
2022/5/23,0,,2022/2/21,16934,,2022/5/3,2886,,2022/2/20,5794,,2022/2/20,4902,5794
2022/5/23,71,,2022/2/22,18750,,2022/5/3,2739,,2022/2/21,9379,,2022/2/21,16934,9379
2022/5/23,497,,2022/2/23,5011,,2022/5/3,2424,,2022/2/22,8003,,2022/2/22,18750,8003
2022/5/23,240,,2022/2/24,9044,,2022/5/3,2898,,2022/2/23,7796,,2022/2/23,5011,7796
2022/5/23,0,,2022/2/25,3411,,2022/4/12,2167,,2022/2/24,6112,,2022/2/24,9044,6112
2022/1/7,0,,2022/2/26,2102,,2022/4/12,2818,,2022/2/25,11600,,2022/2/25,3411,11600
2022/1/7,0,,2022/2/27,9085,,2022/4/12,2931,,2022/2/26,6332,,2022/2/26,2102,6332
2022/1/7,0,,2022/2/28,20799,,2022/4/12,3692,,2022/2/27,0,,2022/2/27,9085,0
2022/1/7,17,,2022/3/1,8411,,2021/10/28,2947,,2022/2/28,0,,2022/2/28,20799,0
2022/8/3,248,,2022/3/2,0,,2021/10/28,3029,,2022/3/1,9325,,2022/3/1,8411,9325
2022/8/3,49,,2022/3/3,683,,2021/10/28,2239,,2022/3/2,12585,,2022/3/2,0,12585
2022/8/3,0,,2022/3/4,0,,2021/10/28,4324,,2022/3/3,11970,,2022/3/3,683,11970
2022/8/3,50,,2022/3/5,14182,,2021/10/28,3037,,2022/3/4,5859,,2022/3/4,0,5859
2022/8/3,150,,2022/3/6,4963,,2022/2/1,2390,,2022/3/5,9923,,2022/3/5,14182,9923
2022/8/3,56,,2022/3/7,14189,,2022/2/1,3243,,2022/3/6,14475,,2022/3/6,4963,14475
2022/8/3,498,,2022/3/8,5774,,2022/2/1,2934,,2022/3/7,5639,,2022/3/7,14189,5639
2022/8/3,0,,2022/3/9,406,,2022/2/1,3107,,2022/3/8,0,,2022/3/8,5774,0
2022/2/5,100,,2022/3/10,2278,,2022/2/1,0,,2022/3/9,7990,,2022/3/9,406,7990
2022/2/5,70,,2022/3/11,6343,,2021/12/29,2992,,2022/3/10,8154,,2022/3/10,2278,8154
2022/2/5,50,,2022/3/12,10027,,2021/12/29,2919,,2022/3/11,8004,,2022/3/11,6343,8004
2022/5/23,172,,2022/3/13,1202,,2021/12/16,4277,,2022/3/12,943,,2022/3/12,10027,943
2022/5/23,0,,2022/3/14,2827,,2021/12/16,2412,,2022/3/13,4642,,2022/3/13,1202,4642
2021/9/30,75,,2022/3/15,3540,,2022/6/1,982,,2022/3/14,7297,,2022/3/14,2827,7297
2021/9/30,474,,2022/3/16,2695,,2022/6/1,3162,,2022/3/15,8264,,2022/3/15,3540,8264
2021/9/30,426,,2022/3/17,1567,,2022/6/1,2565,,2022/3/16,6166,,2022/3/16,2695,6166
2021/9/30,230,,2022/3/18,10204,,2022/6/1,3362,,2022/3/17,6976,,2022/3/17,1567,6976
2022/1/7,121,,2022/3/19,3790,,2022/6/1,3717,,2022/3/18,15324,,2022/3/18,10204,15324
2022/1/7,0,,2022/3/20,2026,,2021/10/11,2652,,2022/3/19,5643,,2022/3/19,3790,5643
2022/1/7,0,,2022/3/21,5392,,2021/10/11,2525,,2022/3/20,10412,,2022/3/20,2026,10412
2022/8/3,50,,2022/3/22,3145,,2021/10/11,3070,,2022/3/21,12377,,2022/3/21,5392,12377
2022/8/3,50,,2022/3/23,1315,,2021/10/11,2872,,2022/3/22,7168,,2022/3/22,3145,7168
2022/8/3,0,,2022/3/24,5988,,2021/10/11,4145,,2022/3/23,8330,,2022/3/23,1315,8330
2022/8/3,3162,,2022/3/25,11978,,2021/10/11,2982,,2022/3/24,14750,,2022/3/24,5988,14750
2022/8/3,295,,2022/3/26,9831,,2022/3/31,2464,,2022/3/25,11008,,2022/3/25,11978,11008
2022/2/5,25,,2022/3/27,13029,,2022/3/31,3224,,2022/3/26,7288,,2022/3/26,9831,7288
2022/2/5,0,,2022/3/28,3673,,2022/3/31,2426,,2022/3/27,13000,,2022/3/27,13029,13000
2022/5/23,0,,2022/3/29,2872,,2022/3/31,1593,,2022/3/28,11616,,2022/3/28,3673,11616
2021/10/15,21,,2022/3/30,16398,,2021/10/6,3198,,2022/3/29,6956,,2022/3/29,2872,6956
2021/10/15,25,,2022/3/31,4251,,2021/10/6,3083,,2022/3/30,14133,,2022/3/30,16398,14133
2021/10/15,150,,2022/4/1,1689,,2021/10/6,2369,,2022/3/31,9707,,2022/3/31,4251,9707
2021/10/15,150,,2022/4/2,4209,,2022/1/12,2100,,2022/4/1,10232,,2022/4/1,1689,10232
2022/3/9,0,,2022/4/3,1316,,2022/1/12,3024,,2022/4/2,13513,,2022/4/2,4209,13513
2022/3/9,108,,2022/4/4,3215,,2022/1/12,3446,,2022/4/3,9414,,2022/4/3,1316,9414
2022/3/9,0,,2022/4/5,6402,,2022/5/29,2956,,2022/4/4,16029,,2022/4/4,3215,16029
2022/3/9,48,,2022/4/6,7009,,2022/5/29,2905,,2022/4/5,6561,,2022/4/5,6402,6561
2022/1/7,100,,2022/4/7,2318,,2022/5/29,2790,,2022/4/6,14132,,2022/4/6,7009,14132
2022/8/3,25,,2022/4/8,416,,2022/5/29,2660,,2022/4/7,8537,,2022/4/7,2318,8537
2022/8/3,632,,2022/4/9,3067,,2022/5/29,2977,,2022/4/8,15393,,2022/4/8,416,15393
2022/6/12,50,,2022/4/10,1233,,2022/5/29,1275,,2022/4/9,8101,,2022/4/9,3067,8101
2022/6/12,0,,2022/4/11,0,,2022/5/29,2289,,2022/4/10,8315,,2022/4/10,1233,8315
